Analyte#	Protein ID	Entry Name	Protein Description	Gene	Contaminants	Protein Group	Sub Group	Number of  Used Peptide Ions	Value.NM	Value.MIC	Numb.NM	Numb.MIC	Median.NM	Median.MIC	Avg.NM	Avg.MIC	STD.NM	STD.MIC	CV.NM	CV.MIC	pval.Multiple.ANOVA	pval.NM.vs.MIC.ttest
631	XP_003728353.1	---	XP_003728353.1 uncharacterized protein LOC100888314 [Strongylocentrotus purpuratus]	---	N	8828	a	1	0.366; 0.614; 1	2.397; ---; 1.409	3	2	0.614	1.903	0.660	1.903	0.319	0.699	48.33	36.73	---	---
632	XP_003728386.2	---	XP_003728386.2 uncharacterized protein LOC100144872 isoform X3 [Strongylocentrotus purpuratus]	---	N	7184	a	0	---; ---; ---	---; ---; ---	0	0	---	---	---	---	---	---	---	---	---	---
633	XP_003728405.1	---	XP_003728405.1 apoptosis regulatory protein Siva [Strongylocentrotus purpuratus]	---	N	375	a	7	0.745; 1.107; 1.147	0.586; 1.026; 0.99	3	3	1.107	0.990	1.000	0.867	0.221	0.244	22.10	28.14	0.525245189596302	0.525245189596301
634	XP_003728409.2	---	XP_003728409.2 3-oxo-5-alpha-steroid 4-dehydrogenase 1 [Strongylocentrotus purpuratus]	---	N	5110	a	5	1.05; 0.847; 0.717	1.137; 1.135; 0.732	3	3	0.847	1.135	0.871	1.001	0.168	0.233	19.29	23.28	0.477082375237618	0.477082375237618
635	XP_003728420.2	---	XP_003728420.2 uncharacterized protein LOC100889564 [Strongylocentrotus purpuratus]	---	N	5111	a	35	0.974; 1.124; 1.021	0.899; 0.932; 0.995	3	3	1.021	0.932	1.040	0.942	0.077	0.049	7.40	5.20	0.136289656435449	0.136289656435449
636	XP_003728428.2	---	XP_003728428.2 uncharacterized protein LOC100890992 [Strongylocentrotus purpuratus]	---	N	376	a	13	0.936; 1.009; 1.177	0.47; 0.933; 1.158	3	3	1.009	0.933	1.041	0.854	0.124	0.351	11.91	41.10	0.432978694539966	0.432978694539966
637	XP_003728431.2	---	XP_003728431.2 probable assembly chaperone of rpl4 [Strongylocentrotus purpuratus]	---	N	377	a	0	---; ---; ---	---; ---; ---	0	0	---	---	---	---	---	---	---	---	---	---
638	XP_003728452.2	---	XP_003728452.2 tRNA methyltransferase 10 homolog A [Strongylocentrotus purpuratus]	---	N	8888	a	1	---; 0.777; ---	---; ---; 1.223	1	1	0.777	1.223	0.777	1.223	0	0	0.00	0.00	---	---
639	XP_003728533.1	---	XP_003728533.1 lengsin [Strongylocentrotus purpuratus]	---	N	378	a	7	1.573; 0.937; 1	0.604; 1.977; 0.987	3	3	1.000	0.987	1.170	1.189	0.350	0.709	29.91	59.63	0.968238509314148	0.968238509314148
640	XP_003728549.2	---	XP_003728549.2 tetraspanin-11 [Strongylocentrotus purpuratus]	---	N	8861	a	0	---; ---; ---	---; ---; ---	0	0	---	---	---	---	---	---	---	---	---	---
641	XP_003728555.2	---	XP_003728555.2 deleted in malignant brain tumors 1 protein [Strongylocentrotus purpuratus]	---	N	7338	a	1	1.276; 0.531; 1.185	0.815; 1.545; 0.203	3	3	1.185	0.815	0.997	0.854	0.406	0.672	40.72	78.69	0.768205540995128	0.768205540995128
642	XP_003728558.1	---	XP_003728558.1 uncharacterized protein LOC100893473 [Strongylocentrotus purpuratus]	---	N	379	a	2	1.521; 0.674; 1.076	2.059; 0.832; 0.924	3	3	1.076	0.924	1.090	1.272	0.424	0.683	38.90	53.69	0.715998595253461	0.715998595253461
643	XP_003728578.1	---	XP_003728578.1 mitochondrial dynamics protein MID49 [Strongylocentrotus purpuratus]	---	N	5112	a	1	2.854; 0.886; 0.707	1.579; 1.114; 0.323	3	3	0.886	1.114	1.482	1.005	1.191	0.635	80.36	63.18	0.57360593796017	0.57360593796017
644	XP_003728583.1	---	XP_003728583.1 casein kinase II subunit alpha isoform X2 [Strongylocentrotus purpuratus]	---	N	380	a	0	---; ---; ---	---; ---; ---	0	0	---	---	---	---	---	---	---	---	---	---
645	XP_003728585.2	---	XP_003728585.2 neurofilament heavy polypeptide [Strongylocentrotus purpuratus]	---	N	381	a	4	1.106; 0.947; 0.819	1.033; 0.967; 1.136	3	3	0.947	1.033	0.957	1.045	0.144	0.085	15.05	8.13	0.413323302990206	0.413323302990206
646	XP_003728587.2	---	XP_003728587.2 uncharacterized protein LOC100893176 [Strongylocentrotus purpuratus]	---	N	382	a	2	1.031; 0.428; 0.391	2.132; 1.729; 1.4	3	3	0.428	1.729	0.617	1.754	0.359	0.367	58.18	20.92	0.0185164690472041	0.0185164690472041
647	XP_003728606.1	---	"XP_003728606.1 39S ribosomal protein L12, mitochondrial [Strongylocentrotus purpuratus]"	---	N	383	a	12	1; 0.908; 1.066	0.703; 1; 1.092	3	3	1.000	1.000	0.991	0.932	0.079	0.203	7.97	21.78	0.660517540790897	0.660517540790898
648	XP_003728633.2	---	XP_003728633.2 uncharacterized protein LOC585395 [Strongylocentrotus purpuratus]	---	N	5113	a	45	1.104; 0.933; 1.171	0.911; 0.757; 1.101	3	3	1.104	0.911	1.069	0.923	0.123	0.172	11.51	18.63	0.297019190883253	0.297019190883253
649	XP_003728664.2	---	XP_003728664.2 uncharacterized protein LOC100889207 [Strongylocentrotus purpuratus]	---	N	385	a	3	0.655; 1; 0.627	0.874; 1.229; 1.124	3	3	0.655	1.124	0.761	1.076	0.208	0.182	27.33	16.91	0.119660347338402	0.119660347338402
650	XP_003728717.2	---	XP_003728717.2 E3 ubiquitin-protein ligase MARCH8 [Strongylocentrotus purpuratus]	---	N	386	a	6	0.897; 0.751; 0.862	1.169; 1.163; 1.067	3	3	0.862	1.163	0.837	1.133	0.076	0.057	9.08	5.03	0.00575126149091901	0.00575126149091901
651	XP_003728753.2	---	XP_003728753.2 huntingtin-interacting protein 1 isoform X2 [Strongylocentrotus purpuratus]	---	N	5114	a	1	---; 1; 1.376	---; ---; 0.868	2	1	1.188	0.868	1.188	0.868	0.266	0	22.39	0.00	---	---
652	XP_003728808.3	---	XP_003728808.3 NEDD8-activating enzyme E1 regulatory subunit [Strongylocentrotus purpuratus]	---	N	387	a	26	1; 1.094; 0.956	1.052; 0.968; 0.99	3	3	1.000	0.990	1.017	1.003	0.070	0.044	6.88	4.39	0.794294742786519	0.794294742786519
653	XP_003728854.1	---	XP_003728854.1 uncharacterized protein LOC583387 isoform X1 [Strongylocentrotus purpuratus]	---	N	5115	a	0	---; ---; ---	---; ---; ---	0	0	---	---	---	---	---	---	---	---	---	---
654	XP_003728874.1	---	XP_003728874.1 zinc finger protein 652-B [Strongylocentrotus purpuratus]	---	N	5116	a	3	0.674; 0.873; 1.119	1.299; 0.646; 1.066	3	3	0.873	1.066	0.889	1.004	0.223	0.331	25.08	32.97	0.643843282507945	0.643843282507945
655	XP_003728892.2	---	XP_003728892.2 electroneutral sodium bicarbonate exchanger 1 isoform X4 [Strongylocentrotus purpuratus]	---	N	5117	a	0	---; ---; ---	---; ---; ---	0	0	---	---	---	---	---	---	---	---	---	---
656	XP_003728895.1	---	XP_003728895.1 calumenin isoform X2 [Strongylocentrotus purpuratus]	---	N	388	a	2	0.723; 0.907; 0.95	1.281; 2.932; 1.041	3	3	0.907	1.281	0.860	1.751	0.121	1.030	14.07	58.82	0.210619533463832	0.210619533463832
657	XP_003728896.1	---	XP_003728896.1 calumenin isoform X1 [Strongylocentrotus purpuratus]	---	N	389	a	4	1.074; 0.55; 0.676	1.758; 1.199; 1.038	3	3	0.676	1.199	0.767	1.332	0.274	0.378	35.72	28.38	0.103907716073834	0.103907716073835
658	XP_003728901.1	---	"XP_003728901.1 4-hydroxy-2-oxoglutarate aldolase, mitochondrial [Strongylocentrotus purpuratus]"	---	N	390	a	29	0.937; 0.955; 1	1.154; 1.019; 1.09	3	3	0.955	1.090	0.964	1.088	0.032	0.068	3.32	6.25	0.0459793196865508	0.0459793196865508
659	XP_003728923.2	---	XP_003728923.2 heme-binding protein 1 isoform X1 [Strongylocentrotus purpuratus]	---	N	5118	a	0	---; ---; ---	---; ---; ---	0	0	---	---	---	---	---	---	---	---	---	---
660	XP_003728952.2	---	XP_003728952.2 transmembrane prolyl 4-hydroxylase [Strongylocentrotus purpuratus]	---	N	391	a	7	0.834; 0.755; 1	1.127; 0.968; 1.051	3	3	0.834	1.051	0.863	1.049	0.125	0.080	14.48	7.63	0.095807184278732	0.095807184278732
661	XP_003728978.1	---	XP_003728978.1 uncharacterized protein LOC100892379 [Strongylocentrotus purpuratus]	---	N	392	a	2	0.791; 0.687; 0.795	1.309; 1.269; 1.205	3	3	0.791	1.269	0.758	1.261	0.061	0.052	8.05	4.12	0.000415070268975033	0.000415070268975033
662	XP_003729002.2	---	XP_003729002.2 LOW QUALITY PROTEIN: proton-coupled amino acid transporter 1 [Strongylocentrotus purpuratus]	---	N	393	a	5	1.197; 0.899; 0.741	1.15; 1.209; 0.922	3	3	0.899	1.150	0.946	1.094	0.232	0.152	24.52	13.89	0.406732913315349	0.40673291331535
663	XP_003729019.2	---	XP_003729019.2 uncharacterized protein LOC100888387 isoform X1 [Strongylocentrotus purpuratus]	---	N	394	a	2	0.519; 1.171; 0.829	1.842; 1.991; 0.394	3	3	0.829	1.842	0.840	1.409	0.326	0.882	38.81	62.60	0.353589920089524	0.353589920089524
664	XP_003729057.1	---	XP_003729057.1 GRB2-associated-binding protein 1 isoform X2 [Strongylocentrotus purpuratus]	---	N	395	a	0	---; ---; ---	---; ---; ---	0	0	---	---	---	---	---	---	---	---	---	---
665	XP_003729077.2	---	XP_003729077.2 sphingosine kinase 2 [Strongylocentrotus purpuratus]	---	N	396	a	9	0.844; 1; 1	0.373; 1.243; 1.235	3	3	1.000	1.235	0.948	0.950	0.090	0.500	9.49	52.63	0.994033938430245	0.994033938430245
666	XP_003729183.2	---	XP_003729183.2 oxidoreductase NAD-binding domain-containing protein 1 [Strongylocentrotus purpuratus]	---	N	6226	b	1	0.873; 1.626; 1.331	---; 0.961; 1	3	2	1.331	0.980	1.277	0.980	0.379	0.028	29.68	2.86	---	---
667	XP_003729198.1	---	XP_003729198.1 glycogen-binding subunit 76A [Strongylocentrotus purpuratus]	---	N	397	a	0	---; ---; ---	---; ---; ---	0	0	---	---	---	---	---	---	---	---	---	---
668	XP_003729199.2	---	XP_003729199.2 glycogen-binding subunit 76A [Strongylocentrotus purpuratus]	---	N	7983	a	1	1; 1.013; 0.231	1.655; 0.581; ---	3	2	1.000	1.118	0.748	1.118	0.448	0.759	59.89	67.89	---	---
669	XP_003729236.2	---	XP_003729236.2 uricase [Strongylocentrotus purpuratus]	---	N	398	a	28	0.702; 0.987; 1.05	0.718; 1.166; 1.114	3	3	0.987	1.114	0.913	0.999	0.185	0.245	20.26	24.52	0.651975498328301	0.651975498328301
670	XP_003729238.2	---	XP_003729238.2 SNARE-associated protein Snapin [Strongylocentrotus purpuratus]	---	N	399	a	5	1.225; 0.844; 1.206	0.818; 0.763; 1	3	3	1.206	0.818	1.092	0.860	0.215	0.124	19.69	14.42	0.181408365354097	0.181408365354097
671	XP_003729242.1	---	XP_003729242.1 sodium- and chloride-dependent glycine transporter 1 isoform X1 [Strongylocentrotus purpuratus]	---	N	400	a	0	---; ---; ---	---; ---; ---	0	0	---	---	---	---	---	---	---	---	---	---
672	XP_003729267.1	---	XP_003729267.1 UMP-CMP kinase isoform X3 [Strongylocentrotus purpuratus]	---	N	5119	a	2	0.917; 0.967; 1.31	---; 0.98; 1.292	3	2	0.967	1.136	1.065	1.136	0.214	0.221	20.09	19.45	---	---
673	XP_003729276.1	---	XP_003729276.1 transmembrane protein 179 isoform X2 [Strongylocentrotus purpuratus]	---	N	401	a	3	0.942; 0.854; 0.415	1.359; 1.352; 0.945	3	3	0.854	1.352	0.737	1.219	0.282	0.237	38.26	19.44	0.0863720906347022	0.0863720906347022
674	XP_003729287.2	---	"XP_003729287.2 heparan sulfate glucosamine 3-O-sulfotransferase 4, partial [Strongylocentrotus purpuratus]"	---	N	402	a	5	0.944; 0.895; 0.889	1.09; 1.321; 0.979	3	3	0.895	1.090	0.909	1.130	0.030	0.174	3.30	15.40	0.0970427525286997	0.0970427525286997
675	XP_003729294.2	---	XP_003729294.2 protein FAM91A1 isoform X1 [Strongylocentrotus purpuratus]	---	N	403	a	0	---; ---; ---	---; ---; ---	0	0	---	---	---	---	---	---	---	---	---	---
676	XP_003729301.3	---	XP_003729301.3 cap-specific mRNA (nucleoside-2'-O-)-methyltransferase 1 [Strongylocentrotus purpuratus]	---	N	5120	a	1	1.449; 0.518; 1.418	0.755; 0.847; 1.153	3	3	1.418	0.847	1.128	0.918	0.529	0.208	46.90	22.66	0.55701452006071	0.55701452006071
677	XP_003729312.1	---	XP_003729312.1 crystallin J1A [Strongylocentrotus purpuratus]	---	N	404	a	4	2.434; 1.58; 0.871	1.283; 0.716; 0.684	3	3	1.580	0.716	1.628	0.894	0.783	0.337	48.10	37.70	0.209970772323238	0.209970772323238
678	XP_003729315.2	---	XP_003729315.2 methyltransferase-like protein 7A [Strongylocentrotus purpuratus]	---	N	405	a	9	1.079; 0.827; 0.936	1.17; 1.197; 0.715	3	3	0.936	1.170	0.947	1.027	0.126	0.271	13.31	26.39	0.667012758364787	0.667012758364787
679	XP_003729345.1	---	XP_003729345.1 transmembrane emp24 domain-containing protein 10 [Strongylocentrotus purpuratus]	---	N	406	a	18	1; 0.965; 0.992	1.434; 0.998; 0.992	3	3	0.992	0.998	0.986	1.141	0.018	0.253	1.83	22.17	0.348530816653685	0.348530816653685
680	XP_003729359.2	---	XP_003729359.2 beta-adrenergic receptor kinase 2 [Strongylocentrotus purpuratus]	---	N	5121	a	4	0.618; 1.383; 0.886	2.557; 0.916; 0.947	3	3	0.886	0.947	0.962	1.473	0.388	0.939	40.33	63.75	0.432719798873697	0.432719798873697
681	XP_003729360.1	---	XP_003729360.1 ran-specific GTPase-activating protein isoform X2 [Strongylocentrotus purpuratus]	---	N	407	a	3	1.203; 1.471; 2.068	1.257; 0.723; 1.007	3	3	1.471	1.007	1.581	0.996	0.443	0.267	28.02	26.81	0.121661826303509	0.121661826303509
682	XP_003729382.1	---	XP_003729382.1 glycogen synthase kinase-3 beta [Strongylocentrotus purpuratus]	---	N	408	a	13	1.115; 1.139; 1.158	0.722; 0.825; 0.877	3	3	1.139	0.825	1.137	0.808	0.022	0.079	1.93	9.78	0.00222122279183393	0.00222122279183393
683	XP_003729436.1	---	XP_003729436.1 aspartyl aminopeptidase [Strongylocentrotus purpuratus]	---	N	410	a	26	1.251; 1.349; 1.273	0.65; 0.585; 0.64	3	3	1.273	0.640	1.291	0.625	0.051	0.035	3.95	5.60	4.97550982890177e-05	4.97550982890177e-05
684	XP_003729449.3	---	XP_003729449.3 uncharacterized protein LOC100888054 [Strongylocentrotus purpuratus]	---	N	411	a	4	1.036; 1.176; 1.168	0.801; 1.102; 0.872	3	3	1.168	0.872	1.127	0.925	0.079	0.157	7.01	16.97	0.118009348853152	0.118009348853152
685	XP_003729478.2	---	XP_003729478.2 argininosuccinate lyase isoform X1 [Strongylocentrotus purpuratus]	---	N	412	a	0	---; ---; ---	---; ---; ---	0	0	---	---	---	---	---	---	---	---	---	---
686	XP_003729479.2	---	XP_003729479.2 serine/threonine-protein kinase NLK2 isoform X1 [Strongylocentrotus purpuratus]	---	N	413	a	0	---; ---; ---	---; ---; ---	0	0	---	---	---	---	---	---	---	---	---	---
687	XP_003729500.1	---	XP_003729500.1 NADH dehydrogenase [ubiquinone] iron-sulfur protein 5 [Strongylocentrotus purpuratus]	---	N	415	a	6	1.121; 0.838; 0.888	1.871; 1.113; 0.968	3	3	0.888	1.113	0.949	1.317	0.151	0.485	15.91	36.83	0.277454537937355	0.277454537937355
688	XP_003729508.1	---	XP_003729508.1 uncharacterized protein LOC100893717 isoform X1 [Strongylocentrotus purpuratus]	---	N	5122	a	1	---; 1; 1.185	---; ---; 0.146	2	1	1.093	0.146	1.093	0.146	0.131	0	11.99	0.00	---	---
689	XP_003729518.2	---	XP_003729518.2 protein HEXIM [Strongylocentrotus purpuratus]	---	N	416	a	4	0.855; 1.115; 1.21	0.683; 0.948; 1.386	3	3	1.115	0.948	1.060	1.006	0.184	0.355	17.36	35.29	0.825457717044933	0.825457717044933
690	XP_003729524.1	---	XP_003729524.1 DNA polymerase beta [Strongylocentrotus purpuratus]	---	N	417	a	16	0.895; 1.134; 1.072	0.812; 0.937; 0.972	3	3	1.072	0.937	1.034	0.907	0.124	0.084	11.99	9.26	0.217038370301984	0.217038370301984
691	XP_003729538.2	---	XP_003729538.2 pre-mRNA-splicing factor CWC22 homolog isoform X2 [Strongylocentrotus purpuratus]	---	N	5808	h	0	---; ---; ---	---; ---; ---	0	0	---	---	---	---	---	---	---	---	---	---
692	XP_003729573.2	---	XP_003729573.2 coilin [Strongylocentrotus purpuratus]	---	N	418	a	3	0.949; 0.996; 1.713	0.642; 0.666; 1.086	3	3	0.996	0.666	1.219	0.798	0.428	0.250	35.11	31.33	0.214920545860259	0.214920545860259
693	XP_003729577.2	---	XP_003729577.2 uncharacterized protein LOC586013 isoform X1 [Strongylocentrotus purpuratus]	---	N	419	a	5	0.89; 1.056; 0.808	1.078; 0.971; 0.778	3	3	0.890	0.971	0.918	0.942	0.126	0.152	13.73	16.14	0.841597811249622	0.841597811249622
694	XP_003729604.1	---	XP_003729604.1 nucleolin isoform X2 [Strongylocentrotus purpuratus]	---	N	5123	a	0	---; ---; ---	---; ---; ---	0	0	---	---	---	---	---	---	---	---	---	---
695	XP_003729653.2	---	XP_003729653.2 carbohydrate sulfotransferase 1 [Strongylocentrotus purpuratus]	---	N	420	a	3	1.216; 0.498; 0.999	1.645; 1.796; 0.748	3	3	0.999	1.645	0.904	1.396	0.368	0.567	40.71	40.62	0.275783669893714	0.275783669893714
696	XP_003729661.2	---	XP_003729661.2 UDP-glucuronosyltransferase 2C1 isoform X1 [Strongylocentrotus purpuratus]	---	N	5124	a	1	0.66; 0.305; 1.154	1; ---; 1.566	3	2	0.660	1.283	0.706	1.283	0.426	0.400	60.34	31.18	---	---
697	XP_003729728.2	---	XP_003729728.2 methylated-DNA--protein-cysteine methyltransferase [Strongylocentrotus purpuratus]	---	N	421	a	8	0.925; 1.114; 0.559	0.936; 1.31; 0.866	3	3	0.925	0.936	0.866	1.037	0.282	0.239	32.56	23.05	0.467016812851011	0.467016812851011
698	XP_003729730.2	---	XP_003729730.2 NFX1-type zinc finger-containing protein 1-like [Strongylocentrotus purpuratus]	---	N	422	a	11	0.963; 0.756; 1.093	3.054; 0.737; 0.879	3	3	0.963	0.879	0.937	1.557	0.170	1.299	18.14	83.43	0.4587612746907	0.4587612746907
699	XP_003729764.1	---	XP_003729764.1 2-iminobutanoate/2-iminopropanoate deaminase isoform X1 [Strongylocentrotus purpuratus]	---	N	5125	a	3	1.223; 1.239; 0.15	0.856; 0.991; 1.304	3	3	1.223	0.991	0.871	1.050	0.624	0.230	71.64	21.90	0.664235171387867	0.664235171387867
700	XP_003729861.1	---	XP_003729861.1 heterogeneous nuclear ribonucleoprotein H isoform X2 [Strongylocentrotus purpuratus]	---	N	5002	k	0	---; ---; ---	---; ---; ---	0	0	---	---	---	---	---	---	---	---	---	---
701	XP_003729862.2	---	XP_003729862.2 pre-mRNA-splicing factor RBM22 [Strongylocentrotus purpuratus]	---	N	423	a	0	---; ---; ---	---; ---; ---	0	0	---	---	---	---	---	---	---	---	---	---
702	XP_003729867.2	---	XP_003729867.2 THAP domain-containing protein 4 [Strongylocentrotus purpuratus]	---	N	424	a	9	0.966; 0.92; 1.079	0.853; 1; 1.097	3	3	0.966	1.000	0.988	0.983	0.082	0.123	8.30	12.51	0.956027090472135	0.956027090472135
703	XP_003729869.2	---	XP_003729869.2 uncharacterized protein LOC100889370 [Strongylocentrotus purpuratus]	---	N	425	a	2	0.928; 0.982; ---	0.776; 1.078; ---	2	2	0.955	0.927	0.955	0.927	0.038	0.214	3.98	23.09	---	---
704	XP_003729883.2	---	XP_003729883.2 DNA repair protein SWI5 homolog [Strongylocentrotus purpuratus]	---	N	8057	a	1	0.909; 0.98; 1.039	0.492; 1.02; 1.038	3	3	0.980	1.020	0.976	0.850	0.065	0.310	6.66	36.47	0.528925542123437	0.528925542123437
705	XP_003729915.1	---	XP_003729915.1 uncharacterized protein LOC100891656 [Strongylocentrotus purpuratus]	---	N	426	a	13	0.899; 0.941; 1.193	0.943; 0.865; 1.209	3	3	0.941	0.943	1.011	1.006	0.159	0.180	15.73	17.89	0.971194653884585	0.971194653884585
706	XP_003729937.1	---	XP_003729937.1 zinc finger protein 541 isoform X1 [Strongylocentrotus purpuratus]	---	N	8009	a	0	---; ---; ---	---; ---; ---	0	0	---	---	---	---	---	---	---	---	---	---
707	XP_003729944.2	---	XP_003729944.2 exosome complex component RRP40 [Strongylocentrotus purpuratus]	---	N	427	a	6	1.185; 0.768; 1.242	0.937; 0.41; 0.956	3	3	1.185	0.937	1.065	0.768	0.259	0.310	24.32	40.36	0.271148626029177	0.271148626029177
708	XP_003729979.2	---	XP_003729979.2 uncharacterized protein LOC581836 isoform X1 [Strongylocentrotus purpuratus]	---	N	428	a	0	---; ---; ---	---; ---; ---	0	0	---	---	---	---	---	---	---	---	---	---
709	XP_003730011.2	---	XP_003730011.2 histamine N-methyltransferase [Strongylocentrotus purpuratus]	---	N	429	a	2	0.982; 0.925; ---	0.513; 2.143; 1.375	2	3	0.954	1.375	0.954	1.344	0.040	0.815	4.19	60.64	---	---
710	XP_003730043.3	---	XP_003730043.3 solute carrier family 25 member 43 [Strongylocentrotus purpuratus]	---	N	430	a	2	9.208; 0.99; 0.663	6.95; 1.01; 0.657	3	3	0.990	1.010	3.620	2.872	4.842	3.536	133.76	123.12	0.839486840297226	0.839486840297226
711	XP_003730074.2	---	XP_003730074.2 uncharacterized protein LOC100892111 [Strongylocentrotus purpuratus]	---	N	431	a	4	1.081; 1; 1.149	3.157; 0.822; 0.641	3	3	1.081	0.822	1.077	1.540	0.075	1.403	6.96	91.10	0.59850098765244	0.59850098765244
712	XP_003730095.2	---	XP_003730095.2 BTB/POZ domain-containing protein KCTD6 [Strongylocentrotus purpuratus]	---	N	8058	a	0	---; ---; ---	---; ---; ---	0	0	---	---	---	---	---	---	---	---	---	---
713	XP_003730232.2	---	XP_003730232.2 Na(+)/H(+) exchange regulatory cofactor NHE-RF1 isoform X1 [Strongylocentrotus purpuratus]	---	N	5126	a	0	---; ---; ---	---; ---; ---	0	0	---	---	---	---	---	---	---	---	---	---
714	XP_003730238.2	---	XP_003730238.2 uncharacterized protein LOC593642 isoform X1 [Strongylocentrotus purpuratus]	---	N	7904	a	0	---; ---; ---	---; ---; ---	0	0	---	---	---	---	---	---	---	---	---	---
715	XP_003730239.3	---	XP_003730239.3 uncharacterized protein KIAA1143 homolog [Strongylocentrotus purpuratus]	---	N	432	a	4	1.916; 1.298; 0.927	0.451; 1; 0.918	3	3	1.298	0.918	1.380	0.790	0.500	0.296	36.23	37.47	0.152947706959938	0.152947706959938
716	XP_003730245.1	---	XP_003730245.1 uncharacterized protein LOC100888319 [Strongylocentrotus purpuratus]	---	N	8889	a	0	---; ---; ---	---; ---; ---	0	0	---	---	---	---	---	---	---	---	---	---
717	XP_003730299.1	---	XP_003730299.1 E3 ubiquitin-protein ligase RMND5A [Strongylocentrotus purpuratus]	---	N	433	a	13	1.081; 0.845; 1.186	0.983; 1.105; 0.955	3	3	1.081	0.983	1.037	1.014	0.175	0.080	16.88	7.89	0.845761339829893	0.845761339829893
718	XP_003730303.1	---	XP_003730303.1 TGF-beta-activated kinase 1 and MAP3K7-binding protein 1 [Strongylocentrotus purpuratus]	---	N	434	a	12	1; 1.063; 0.877	1.306; 1.009; 0.824	3	3	1.000	1.009	0.980	1.046	0.095	0.243	9.69	23.23	0.682434009917344	0.682434009917344
719	XP_003730358.1	---	XP_003730358.1 BLOC-1-related complex subunit 8 isoform X2 [Strongylocentrotus purpuratus]	---	N	7259	a	1	0.665; 2.784; 4.958	0.565; 1.335; 0.478	3	3	2.784	0.565	2.802	0.793	2.147	0.472	76.62	59.52	0.188410289107276	0.188410289107276
720	XP_003730423.2	---	XP_003730423.2 centromere protein X [Strongylocentrotus purpuratus]	---	N	436	a	5	1.072; 0.312; 1.147	1.062; 0.231; 1	3	3	1.072	1.000	0.844	0.764	0.462	0.463	54.74	60.60	0.843850691895908	0.843850691895908
721	XP_003730438.1	---	"XP_003730438.1 protein PET100 homolog, mitochondrial-like [Strongylocentrotus purpuratus]"	---	N	5127	a	1	---; 0.747; 0.945	---; 1.192; 1.055	2	2	0.846	1.123	0.846	1.123	0.140	0.097	16.55	8.64	---	---
722	XP_003730450.1	---	XP_003730450.1 putative NADPH-dependent methylglyoxal reductase GRP2 [Strongylocentrotus purpuratus]	---	N	437	a	2	0.939; 1.207; 1	---; 1.193; 0.598	3	2	1.000	0.895	1.049	0.895	0.140	0.421	13.35	47.04	---	---
723	XP_003730505.3	---	XP_003730505.3 GSK3B-interacting protein [Strongylocentrotus purpuratus]	---	N	5128	a	0	---; ---; ---	---; ---; ---	0	0	---	---	---	---	---	---	---	---	---	---
724	XP_003730583.1	---	XP_003730583.1 glutathione gamma-glutamylcysteinyltransferase 2 [Strongylocentrotus purpuratus]	---	N	438	a	8	0.841; 1.201; 0.614	0.951; 1.639; 0.866	3	3	0.841	0.951	0.885	1.152	0.296	0.424	33.45	36.81	0.422152070847953	0.422152070847953
725	XP_003730625.2	---	"XP_003730625.2 iron-sulfur cluster assembly 2 homolog, mitochondrial [Strongylocentrotus purpuratus]"	---	N	439	a	4	0.962; 0.846; 1.108	0.997; 1.257; 0.793	3	3	0.962	0.997	0.972	1.016	0.131	0.233	13.48	22.93	0.791072224171906	0.791072224171906
726	XP_003730637.3	---	XP_003730637.3 lysosomal alpha-glucosidase isoform X2 [Strongylocentrotus purpuratus]	---	N	440	a	1	3.803; 0.281; 0.819	3.593; 1.083; 0.917	3	3	0.819	1.083	1.634	1.864	1.897	1.499	116.10	80.42	0.877140585751709	0.877140585751709
727	XP_003730646.1	---	XP_003730646.1 serine/arginine-rich splicing factor 7 isoform X3 [Strongylocentrotus purpuratus]	---	N	6807	b	0	---; ---; ---	---; ---; ---	0	0	---	---	---	---	---	---	---	---	---	---
728	XP_003730708.2	---	XP_003730708.2 vacuolar segregation protein PEP7 [Strongylocentrotus purpuratus]	---	N	441	a	5	1.642; 2.355; 0.965	1.016; 0.279; 0.993	3	3	1.642	0.993	1.654	0.763	0.695	0.419	42.02	54.91	0.129911619673851	0.129911619673851
729	XP_003730726.2	---	XP_003730726.2 leucine-rich repeat and immunoglobulin-like domain-containing nogo receptor-interacting protein 1 [Strongylocentrotus purpuratus]	---	N	442	a	7	1; 0.885; 1.031	0.614; 1.018; 1.273	3	3	1.000	1.018	0.972	0.968	0.077	0.332	7.92	34.30	0.986036239144317	0.986036239144317
730	XP_003730730.2	---	XP_003730730.2 bcl-2-like protein 1 isoform X6 [Strongylocentrotus purpuratus]	---	N	8442	a	0	---; ---; ---	---; ---; ---	0	0	---	---	---	---	---	---	---	---	---	---
731	XP_003730801.2	---	XP_003730801.2 fibropellin-3 [Strongylocentrotus purpuratus]	---	N	443	a	4	1; 0.682; 0.193	0.985; 1.871; 4.853	3	3	0.682	1.871	0.625	2.570	0.407	2.026	65.12	78.83	0.178499953617744	0.178499953617744
732	XP_003730828.2	---	XP_003730828.2 TRAF-type zinc finger domain-containing protein 1 isoform X1 [Strongylocentrotus purpuratus]	---	N	444	a	0	---; ---; ---	---; ---; ---	0	0	---	---	---	---	---	---	---	---	---	---
